"municipality,""yyyymm"",""Prob_ZINBASE"""
"Cabo de Santo Agostinho,""202206"",0.0154"
"Cabo de Santo Agostinho,""202207"",0.0151"
"Cabo de Santo Agostinho,""202208"",0.0129"
"Cabo de Santo Agostinho,""202209"",0.0253"
"Cabo de Santo Agostinho,""202210"",0.0104"
"Cabo de Santo Agostinho,""202211"",0.0101"
"Cabo de Santo Agostinho,""202212"",0.0098"
"Cabo de Santo Agostinho,""202301"",0.0134"
"Cabo de Santo Agostinho,""202302"",0.0246"
"Cabo de Santo Agostinho,""202303"",0.0075"
"Cabo de Santo Agostinho,""202304"",0.012"
"Cabo de Santo Agostinho,""202305"",0.0061"
"Cabo de Santo Agostinho,""202306"",0.0093"
"Cabrobó,""202002"",0.0477"
"Cabrobó,""202003"",0.0037"
"Cabrobó,""202004"",0.0517"
"Cabrobó,""202005"",0.005"
"Cabrobó,""202006"",0.0278"
"Cabrobó,""202007"",0.0406"
"Cabrobó,""202008"",0.0634"
"Cabrobó,""202009"",0.1165"
"Cabrobó,""202010"",0.3735"
"Cabrobó,""202011"",0.0522"
"Cabrobó,""202012"",0.0128"
"Cabrobó,""202101"",0.2516"
"Cabrobó,""202102"",0.1824"
"Cabrobó,""202103"",0.0321"
"Cabrobó,""202104"",0.2613"
"Cabrobó,""202105"",0.0097"
"Cabrobó,""202106"",0.0746"
"Cabrobó,""202107"",0.3428"
"Cabrobó,""202108"",0.2351"
"Cabrobó,""202109"",0.7145"
"Cabrobó,""202110"",0.6706"
"Cabrobó,""202111"",0.4132"
"Cabrobó,""202112"",0.2707"
"Cabrobó,""202201"",0.0201"
"Cabrobó,""202202"",0.1907"
"Cabrobó,""202203"",0.0794"
"Cabrobó,""202204"",0.0057"
"Cabrobó,""202205"",0.0618"
"Cabrobó,""202206"",0.0407"
"Cabrobó,""202207"",0.0933"
"Cabrobó,""202208"",0.1797"
"Cabrobó,""202209"",0.3228"
"Cabrobó,""202210"",0.2196"
"Cabrobó,""202211"",0.0092"
"Cabrobó,""202212"",0.0009"
"Cabrobó,""202301"",0.0351"
"Cabrobó,""202302"",0.2526"
"Cabrobó,""202303"",0.0572"
"Cabrobó,""202304"",0.0001"
"Cabrobó,""202305"",0.0141"
"Cabrobó,""202306"",0.0019"
"Cachoeirinha,""202002"",0.0515"
"Cachoeirinha,""202003"",0.0283"
"Cachoeirinha,""202004"",0.0032"
"Cachoeirinha,""202005"",0.0009"
"Cachoeirinha,""202006"",0.0005"
"Cachoeirinha,""202007"",0.0004"
"Cachoeirinha,""202008"",0.0026"
"Cachoeirinha,""202009"",0.011"
"Cachoeirinha,""202010"",0.0434"
"Cachoeirinha,""202011"",0.133"
"Cachoeirinha,""202012"",0.0645"
"Cachoeirinha,""202101"",0.036"
"Cachoeirinha,""202102"",0.1185"
"Cachoeirinha,""202103"",0.0585"
"Cachoeirinha,""202104"",0.0166"
"Cachoeirinha,""202105"",0.0022"
"Cachoeirinha,""202106"",0.0004"
"Cachoeirinha,""202107"",0.0046"
"Cachoeirinha,""202108"",0.0024"
"Cachoeirinha,""202109"",0.0172"
"Cachoeirinha,""202110"",0.0887"
"Cachoeirinha,""202111"",0.1755"
"Cachoeirinha,""202112"",0.1568"
"Cachoeirinha,""202201"",0.0048"
"Cachoeirinha,""202202"",0.063"
"Cachoeirinha,""202203"",0.0597"
"Cachoeirinha,""202204"",0.0084"
"Cachoeirinha,""202205"",0.0045"
